date,price
2012/7/18,14.5
2012/7/19,14.45
2012/7/20,14.55
2012/7/23,14.4
2012/7/24,14.4
2012/7/25,14.35
2012/7/26,14.35
2012/7/27,14.45
2012/7/30,14.45
2012/7/31,14.05
2012/8/1,14.3
2012/8/3,14.15
2012/8/6,14.15
2012/8/7,14.05
2012/8/8,14.05
2012/8/9,13.4
2012/8/10,13.45
2012/8/13,13.4
2012/8/14,13.35
2012/8/15,13.5
2012/8/16,13.65
2012/8/17,14
2012/8/20,14.25
2012/8/21,14.3
2012/8/22,14.1
2012/8/23,14.2
2012/8/24,14
2012/8/27,13.95
2012/8/28,13.85
2012/8/29,14.05
2012/8/30,14.15
2012/8/31,14.35
2012/9/3,14.55
2012/9/4,14.5
2012/9/5,14.3
2012/9/6,14.35
2012/9/7,14.4
2012/9/10,14.45
2012/9/11,14.35
2012/9/12,14.4
2012/9/13,14.3
2012/9/14,14.5
2012/9/17,14.4
2012/9/18,14.45
2012/9/19,14.5
2012/9/20,14.65
2012/9/21,14.5
2012/9/24,14.45
2012/9/25,14.55
2012/9/26,14.4
2012/9/27,14.35
2012/9/28,14.35
2012/10/1,14.45
2012/10/2,14.65
2012/10/3,14.5
2012/10/4,14.4
2012/10/5,14.15
2012/10/8,13.95
2012/10/9,14.1
2012/10/11,13.7
2012/10/12,13.7
2012/10/15,13.6
2012/10/16,13.7
2012/10/17,13.65
2012/10/18,13.3
2012/10/19,13.15
2012/10/22,13
2012/10/23,13
2012/10/24,12.95
2012/10/25,12.8
2012/10/26,12.45
2012/10/29,12.4
2012/10/30,13.2
2012/10/31,13.2
2012/11/1,13.1
2012/11/2,12.5
2012/11/5,12.8
2012/11/6,13
2012/11/7,13.1
2012/11/8,12.95
2012/11/9,13.05
2012/11/12,13.05
2012/11/13,12.9
2012/11/14,12.9
2012/11/15,12.85
2012/11/16,13.05
2012/11/19,13.05
2012/11/20,12.9
2012/11/21,12.85
2012/11/22,12.8
2012/11/23,13.1
2012/11/26,13.25
2012/11/27,13.15
2012/11/28,13.15
2012/11/29,13.35
2012/11/30,13.55
2012/12/3,13.8
2012/12/4,13.85
2012/12/5,14
2012/12/6,13.9
2012/12/7,13.9
2012/12/10,13.85
2012/12/11,13.75
2012/12/12,13.8
2012/12/13,13.85
2012/12/14,13.65
2012/12/17,13.7
2012/12/18,13.9
2012/12/19,13.95
2012/12/20,13.85
2012/12/21,13.65
2012/12/22,13.75
2012/12/24,13.75
2012/12/25,13.95
2012/12/26,13.9
2012/12/27,13.95
2012/12/28,13.95
2013/1/2,14
2013/1/3,14.1
2013/1/4,13.95
2013/1/7,13.95
2013/1/8,14
2013/1/9,14
2013/1/10,13.9
2013/1/11,13.9
2013/1/14,13.9
2013/1/15,14
2013/1/16,13.9
2013/1/17,13.55
2013/1/18,13.9
2013/1/21,13.75
2013/1/22,13.8
2013/1/23,13.8
2013/1/24,13.7
2013/1/25,13.6
2013/1/28,13.75
2013/1/29,13.95
2013/1/30,14
2013/1/31,13.65
2013/2/1,13.7
2013/2/4,13.8
2013/2/5,13.7
2013/2/6,13.7
2013/2/18,13.7
2013/2/19,13.9
2013/2/20,13.9
2013/2/21,13.9
2013/2/22,13.9
2013/2/23,13.9
2013/2/25,14.1
2013/2/26,14
2013/2/27,14.05
2013/3/1,14.4
2013/3/4,14.25
2013/3/5,14.55
2013/3/6,14.5
2013/3/7,14.45
2013/3/8,14.3
2013/3/11,14.3
2013/3/12,14.1
2013/3/13,14.1
2013/3/14,14.05
2013/3/15,14
2013/3/18,13.8
2013/3/19,14
2013/3/20,13.85
2013/3/21,13.9
2013/3/22,14
2013/3/25,14
2013/3/26,13.9
2013/3/27,14
2013/3/28,14.1
2013/3/29,14.1
2013/4/1,14
2013/4/2,13.9
2013/4/3,13.95
2013/4/8,13.5
2013/4/9,13.6
2013/4/10,13.6
2013/4/11,13.7
2013/4/12,13.75
2013/4/15,13.6
2013/4/16,13.65
2013/4/17,13.65
2013/4/18,13.75
2013/4/19,13.9
2013/4/22,13.9
2013/4/23,13.9
2013/4/24,13.95
2013/4/25,13.75
2013/4/26,13.75
2013/4/29,13.75
2013/4/30,13.8
2013/5/2,13.8
2013/5/3,13.75
2013/5/6,14.2
2013/5/7,14.2
2013/5/8,14.15
2013/5/9,14.35
2013/5/10,14.35
2013/5/13,14.35
2013/5/14,14.75
2013/5/15,14.8
2013/5/16,15.05
2013/5/17,15
2013/5/20,15.2
2013/5/21,15.2
2013/5/22,15.25
2013/5/23,15.1
2013/5/24,15.2
2013/5/27,15.6
2013/5/28,15.8
2013/5/29,15.7
2013/5/30,15.75
2013/5/31,15.75
2013/6/3,15.7
2013/6/4,15.85
2013/6/5,15.85
2013/6/6,15.5
2013/6/7,15.4
2013/6/10,15.7
2013/6/11,15.55
2013/6/13,15.25
2013/6/14,15.15
2013/6/17,15.25
2013/6/18,15.65
2013/6/19,15.7
2013/6/20,15.6
2013/6/21,14.9
2013/6/24,15.4
2013/6/25,15.3
2013/6/26,15.5
2013/6/27,15.7
2013/6/28,15.7
2013/7/1,15.9
2013/7/2,16
2013/7/3,15.85
2013/7/4,15.75
2013/7/5,15.8
2013/7/8,15.8
2013/7/9,15.9
2013/7/10,16
2013/7/11,15.95
2013/7/12,16
2013/7/15,16.15
2013/7/16,16.7
2013/7/17,16.95
2013/7/18,16.9
2013/7/19,16.75
2013/7/22,17
2013/7/23,17.05
2013/7/24,17.6
2013/7/25,17.5
2013/7/26,17.8
2013/7/29,17.85
2013/7/30,17.9
2013/7/31,17.8
2013/8/1,17.75
2013/8/2,17.55
2013/8/5,17.95
2013/8/6,17.85
2013/8/7,17.6
2013/8/8,17.75
2013/8/9,17.8
2013/8/12,17.75
2013/8/13,16.95
2013/8/14,17.1
2013/8/15,16.85
2013/8/16,16.9
2013/8/19,16.85
2013/8/20,16.95
2013/8/22,17.1
2013/8/23,17.65
2013/8/26,17.8
2013/8/27,17.55
2013/8/28,17.3
2013/8/29,17.6
2013/8/30,17.55
2013/9/2,18.05
2013/9/3,18.15
2013/9/4,18.35
2013/9/5,18.45
2013/9/6,19.4
2013/9/9,19.35
2013/9/10,19.2
2013/9/11,19.2
2013/9/12,19.2
2013/9/13,19
2013/9/14,18.5
2013/9/16,18.95
2013/9/17,19
2013/9/18,19
2013/9/23,19.1
2013/9/24,19.1
2013/9/25,19
2013/9/26,18.8
2013/9/27,18.9
2013/9/30,18.95
2013/10/1,18.85
2013/10/2,19.4
2013/10/3,19.6
2013/10/4,19.65
2013/10/7,19.25
2013/10/8,19
2013/10/9,18.7
2013/10/11,19.35
2013/10/14,19.15
2013/10/15,19.3
2013/10/16,19.2
2013/10/17,19.35
2013/10/18,19.5
2013/10/21,19.45
2013/10/22,19.45
2013/10/23,19.5
2013/10/24,19.4
2013/10/25,19.35
2013/10/28,19.4
2013/10/29,19.35
2013/10/30,19.35
2013/10/31,19.75
2013/11/1,19.55
2013/11/4,19.5
2013/11/5,19.1
2013/11/6,18.55
2013/11/7,18.7
2013/11/8,18.65
2013/11/11,18.7
2013/11/12,18.9
2013/11/13,19.4
2013/11/14,19.65
2013/11/15,19.6
2013/11/18,20.2
2013/11/19,20.25
2013/11/20,20.5
2013/11/21,20.4
2013/11/22,20.75
2013/11/25,20.9
2013/11/26,20.75
2013/11/27,21
2013/11/28,21.35
2013/11/29,21.3
2013/12/2,21.4
2013/12/3,22.3
